
length	num
7	2
8	5
26	1
8	2
8	6
10	1
9	1
9	1
8	1
8	4
10	1
9	9
12	5
9	1
9	2
21	1
7	4
9	3
11	4
8	2
9	7
8	1
9	2
7	5
9	2
10	1
8	4
9	1
8	1
8	1
8	4
7	19
7	4
8	5
8	2
9	4
7	5
13	1
9	2
8	5
7	3
12	2
9	1
7	3
7	4
8	5
8	1
9	2
9	2
9	2
9	3
13	2
11	5
9	6
9	1
9	2
8	3
8	1
7	5
7	23
13	3
19	1
8	7
8	6
8	7
8	9
11	1
9	3
9	1
8	7
10	1
8	7
8	2
11	1
8	3
8	5
7	4
8	5
7	6
9	1
11	1
9	1
9	1
6	18
7	4
19	1
13	1
7	2
8	4
8	2
8	3
8	1
9	1
7	3
15	1
8	5
7	3
8	5
7	4
10	2
7	6
8	1
19	1
8	1
8	5
9	1
7	1
9	1
10	1
23	1
16	1
9	5
10	1
7	7
8	1
7	8
9	1
13	1
11	1
8	3
8	3
10	4
9	4
8	2
8	6
8	2
10	1
8	1
11	1
11	5
8	3
7	2
7	3
8	4
9	1
10	2
9	6
7	3
9	1
8	2
8	3
8	4
8	1
7	5
8	7
9	1
8	6
9	2
8	4
7	1
20	1
9	1
13	3
8	5
7	4
9	3
10	1
8	1
8	1
8	2
8	1
8	5
8	2
9	1
11	1
7	2
9	3
9	1
7	2
8	3
9	1
10	1
8	2
10	2
8	2
10	3
8	2
8	4
9	1
8	1
9	2
8	5
8	1
8	7
19	1
12	1
19	1
9	2
8	4
10	1
8	1
7	2
7	23
7	3
8	4
8	6
7	14
8	3
9	6
9	2
10	3
8	6
8	6
9	3
8	5
8	2
8	5
9	1
9	3
7	4
7	2
7	3
8	4
28	3
7	4
8	8
13	1
9	1
7	4
8	8
8	1
8	4
10	1
10	4
7	28
8	8
10	1
7	2
9	1
9	5
7	6
7	32
12	1
7	1
10	3
8	2
8	5
8	2
7	8
9	1
8	1
7	6
8	4
8	20
22	1
9	1
9	1
16	1
8	2
9	1
8	2
10	6
8	5
7	3
7	3
8	1
13	1
7	1
7	1
8	4
7	5
9	3
11	1
7	4
10	5
7	6
8	3
8	19
8	4
7	4
9	1
8	3
7	5
10	5
7	3
8	5
8	3
9	7
7	2
9	2
8	7
8	6
9	5
8	7
9	2
9	2
8	1
11	1
11	1
10	1
13	1
9	2
7	3
8	2
9	2
9	2
7	7
9	1
8	1
8	5
9	5
9	1
9	9
9	4
9	1
16	19
8	1
8	5
8	4
7	3
7	6
8	3
9	6
8	1
8	6
8	3
8	2
9	5
10	1
8	19
10	2
9	1
14	1
8	5
8	4
8	1
9	4
8	1
8	2
10	2
9	3
7	4
8	4
9	1
8	4
11	3
8	1
8	1
8	2
10	6
13	1
8	3
9	5
7	5
8	3
7	4
9	1
9	2
8	1
9	2
8	2
7	21
7	5
8	3
7	1
7	5
7	34
7	21
17	1
7	2
8	3
8	1
7	24
9	1
8	1
9	2
11	2
9	1
7	8
8	6
8	5
7	5
8	2
9	3
8	4
9	2
7	14
8	2
21	2
7	4
10	5
8	1
9	1
8	1
23	2
8	2
7	3
10	1
9	2
11	1
8	1
9	2
10	1
8	1
7	7
10	3
14	2
10	3
7	5
8	1
7	2
8	3
9	10
7	10
8	1
9	1
8	6
7	2
9	5
8	9
8	1
10	2
9	5
7	3
7	4
9	3
7	5
9	9
8	2
7	3
9	1
24	6
11	1
8	2
9	1
9	2
8	1
9	1
9	2
7	5
8	2
16	2
9	1
8	3
8	1
9	1
19	3
12	1
10	3
8	8
8	1
9	2
8	4
9	2
8	3
7	4
14	1
10	3
8	2
9	5
8	3
7	4
8	4
9	6
16	1
7	5
7	8
11	2
9	2
8	5
8	2
8	5
7	6
8	4
9	1
8	1
7	2
8	2
6	18
11	6
9	4
8	2
10	1
17	1
8	2
15	8
13	2
37	2
9	2
21	1
7	3
8	3
9	2
8	1
8	7
21	6
8	1
7	3
11	1
8	2
8	9
9	4
8	4
9	2
8	3
9	1
8	6
8	2
9	1
9	5
8	3
8	3
8	6
17	5
14	3
8	6
7	2
8	4
9	2
10	1
8	7
8	5
8	4
8	4
9	2
9	1
12	2
17	5
7	4
8	5
7	3
8	9
7	21
8	2
12	1
11	2
17	3
8	1
8	1
9	2
9	1
8	7
8	1
9	1
8	3
8	2
7	5
9	1
8	1
8	5
8	10
9	9
9	3
10	3
8	3
7	11
8	1
8	3
7	3
7	4
9	5
8	1
7	2
8	17
8	3
10	11
8	2
9	3
8	1
9	5
8	6
8	4
9	8
9	2
11	5
9	1
15	1
8	7
7	5
11	1
9	1
8	5
7	5
8	4
28	1
7	4
19	4
8	1
8	9
10	6
8	1
18	2
8	5
9	1
9	2
8	5
15	1
8	4
7	5
8	13
9	1
7	16
8	4
9	1
9	4
9	3
8	4
8	10
10	1
9	3
7	8
8	4
8	6
7	5
8	2
7	18
12	1
8	1
8	2
9	1
7	1
7	2
8	6
7	1
8	2
9	2
8	5
8	1
8	5
8	3
8	4
8	3
9	7
8	2
16	1
28	1
10	1
6	23
8	3
8	9
9	2
8	2
7	4
19	4
8	5
9	1
8	6
9	3
13	1
8	3
7	5
13	1
8	1
10	1
11	1
8	6
8	1
8	5
20	2
8	2
7	3
9	5
8	2
8	2
8	4
8	1
7	5
9	2
11	3
9	2
8	6
8	1
9	1
7	7
12	3
11	1
9	6
8	3
9	1
9	1
10	4
7	10
35	2
8	2
7	23
9	4
11	2
8	4
14	2
8	5
9	5
9	1
8	4
7	3
8	1
10	4
8	6
9	1
8	4
9	1
9	4
8	2
11	1
10	3
10	3
9	1
12	3
7	23
16	1
9	2
7	1
12	2
20	3
9	8
7	4
9	4
11	3
10	4
7	5
7	1
7	6
9	6
10	7
7	24
9	4
8	5
9	3
9	2
9	4
8	3
8	7
12	1
8	5
9	2
7	1
8	5
8	1
10	1
10	1
11	6
9	2
7	5
9	4
8	3
7	2
9	4
8	1
8	2
9	3
8	6
7	8
14	1
8	7
9	2
7	7
9	3
8	1
8	1
8	2
8	3
9	4
10	1
8	3
9	1
7	5
8	2
7	6
8	2
10	3
12	1
7	3
9	3
9	4
8	3
8	1
10	1
9	2
8	2
10	5
9	1
8	2
10	1
14	1
12	1
7	1
8	7
8	6
7	4
7	2
8	3
8	3
8	3
9	1
11	3
8	4
9	1
8	2
10	1
57	1
7	4
9	5
9	1
10	8
9	1
7	28
8	4
9	2
8	7
11	2
13	5
23	1
8	6
9	6
8	4
13	1
8	4
10	1
10	1
7	3
7	8
9	1
8	2
17	1
7	2
9	3
7	5
7	2
7	5
8	1
8	1
8	8
9	8
8	9
18	1
8	1
10	3
12	3
7	6
9	1
9	3
9	1
8	4
8	1
9	1
9	1
8	5
8	4
8	3
21	1
8	3
7	4
13	1
7	18
10	3
8	4
8	1
