x y pm error
0.101 0.108489 ± 0.011891
0.102 0.109321 ± 0.0120733
0.104 0.111115 ± 0.012473
0.108 0.114991 ± 0.0133586
0.116 0.122708 ± 0.0152117
0.132 0.138499 ± 0.0193796
0.164 0.170904 ± 0.0295078
0.228 0.237116 ± 0.0568017
0.356 0.387735 ± 0.151921
