x y pm error
0.001 0.100121 ± 0.0101368
0.002 0.0995399 ± 0.0100191
0.004 0.0999126 ± 0.0100955
0.008 0.0997172 ± 0.0100544
0.016 0.100626 ± 0.0102431
0.032 0.100298 ± 0.010179
0.064 0.101062 ± 0.0103527
0.128 0.10561 ± 0.0113576
0.256 0.139715 ± 0.0218891
