x y pm error
0.101 0.100121 ± 0.0101368
0.102 0.0995399 ± 0.0100191
0.104 0.0999126 ± 0.0100955
0.108 0.0997172 ± 0.0100544
0.116 0.100626 ± 0.0102431
0.132 0.100298 ± 0.010179
0.164 0.101062 ± 0.0103527
0.228 0.10561 ± 0.0113576
0.356 0.139715 ± 0.0218891
