x y pm error
0.101 0.108853 ± 0.0119691
0.102 0.110583 ± 0.0123528
0.104 0.113998 ± 0.0131277
0.108 0.120545 ± 0.0146789
0.116 0.133769 ± 0.0180765
0.132 0.160658 ± 0.0260754
0.164 0.2157 ± 0.04701
0.228 0.326757 ± 0.107919
0.356 0.576425 ± 0.336842
