x y pm error
0.001 0.096944 ± 0.00949330999999
0.002 0.095901 ± 0.00929103999999
0.004 0.095865 ± 0.0092857
0.008 0.101829 ± 0.0104842
0.016 0.123336 ± 0.0153880000001
0.032 0.180097 ± 0.0328297999998
0.064 0.286896 ± 0.0833425000002
0.128 0.465194 ± 0.219062
