x y pm error
0.001 0.108489 ± 0.011891
0.002 0.109321 ± 0.0120733
0.004 0.111115 ± 0.012473
0.008 0.114991 ± 0.0133586
0.016 0.122708 ± 0.0152117
0.032 0.138499 ± 0.0193796
0.064 0.170904 ± 0.0295078
0.128 0.237116 ± 0.0568017
0.256 0.387735 ± 0.151921
