x y pm error
0.101 0.096944 ± 0.00949331
0.102 0.095901 ± 0.00929104
0.104 0.095865 ± 0.0092857
0.108 0.101829 ± 0.0104842
0.116 0.123336 ± 0.015388
0.132 0.180097 ± 0.0328298
0.164 0.286896 ± 0.0833425
0.228 0.465194 ± 0.219062
