x name dist y pm error
0 mugsy 0.1 0.106568 ± 0.000156416
1 mugsy 0.1 0.104893 ± 0.00625985
2 mugsy 0.1 0.103237 ± 0.0116827
4 mugsy 0.1 0.100304 ± 0.0142022
8 mugsy 0.1 0.0974458 ± 0.0157471
16 mugsy 0.1 0.0960021 ± 0.0140945
32 mugsy 0.1 0.0931698 ± 0.0117276
64 mugsy 0.1 0.0907125 ± 0.0103748
128 mugsy 0.1 0.0882501 ± 0.0118939
256 mugsy 0.1 0.0911268 ± 0.00932579
512 mugsy 0.1 0.0939919 ± 0.0047849
1024 mugsy 0.1 0.0978868 ± 0.00349733
2048 mugsy 0.1 0.100857 ± 0.002708
